article_id,headline,description,published,lastModified,type,file_date,source_file,vader_compound,vader_positive,vader_negative,vader_neutral,textblob_polarity,textblob_subjectivity,combined_sentiment,mentioned_teams,num_teams_mentioned,published_date
46015801,"EuroBasket 2025: Scores, schedules, teams, news and updates","EuroBasket hits the court for the first time since 2022. We have all the news, scores and schedules as 24 teams compete for champion of Europe.",2025-09-10T20:00:00Z,2025-09-10T20:11:13Z,Story,2024-04-22,news_20240422.json,0.5994,0.106,0.0,0.894,0.25,0.3333333333333333,0.4247,['CHA'],1,2025-09-10 20:00:00+00:00
46215397,Who has won EuroBasket? Men's and women's champions by year,The EuroBasket is the top international basketball competition for European teams. Check out all-time men's and women's winners now.,2025-09-10T19:21:00Z,2025-09-10T19:22:24Z,Story,2024-04-22,news_20240422.json,0.9001,0.324,0.0,0.676,0.16666666666666666,0.16666666666666666,0.5333833333333333,"['NO', 'CHA']",2,2025-09-10 19:21:00+00:00
46216115,"Trey Lyles signs with Real Madrid, leaves NBA after 10 years","Trey Lyles, a 10-year NBA veteran, signed a one-year deal Wednesday with Real Madrid, which plays in Spain and in the EuroLeague.",2025-09-10T16:24:50Z,2025-09-10T16:24:48Z,HeadlineNews,2024-04-22,news_20240422.json,0.25,0.059,0.0,0.941,0.13333333333333333,0.20000000000000004,0.19166666666666665,['LAC'],1,2025-09-10 16:24:50+00:00
46216537,Sources: Knicks to hire Saint Joseph's Billy Lange,"Saint Joseph's head coach, Billy Lange, is expected to be hired by the Knicks for a role with the franchise, sources told ESPN on Wednesday.",2025-09-10T20:25:41Z,2025-09-10T20:25:38Z,HeadlineNews,2024-04-29,news_20240429.json,0.0,0.0,0.0,1.0,-0.1,0.4,-0.1,"['LAC', 'CHI', 'SA', 'NY']",4,2025-09-10 20:25:41+00:00
46217260,"Long end-of-quarter shots to count against NBA teams, not players","The NBA will implement a change for the 2025-26 season with unsuccessful end-of-period heaves being recorded as a missed attempt for the team, not the player.",2025-09-10T20:14:29Z,2025-09-10T20:14:13Z,HeadlineNews,2024-04-29,news_20240429.json,-0.5719,0.0,0.121,0.879,-0.05,0.4,-0.31095,"['LAC', 'NO', 'CHA']",3,2025-09-10 20:14:29+00:00
46217996,Perk reacts to NBA rule change for end-of-quarter heaves,"Kendrick Perkins reacts to Shams Charania's report on the NBA's rule change for end-of-quarter heaves, recalling Doc Rivers' stance encouraging players to take those shots.",2025-09-10T20:01:39Z,2025-09-10T20:13:48Z,Media,2024-04-29,news_20240429.json,0.5267,0.093,0.0,0.907,0.0,0.0,0.5267,"['LAC', 'POR', 'CHA']",3,2025-09-10 20:01:39+00:00
46015801,"EuroBasket 2025: Scores, schedules, teams, news and updates","EuroBasket hits the court for the first time since 2022. We have all the news, scores and schedules as 24 teams compete for champion of Europe.",2025-09-10T20:00:00Z,2025-09-10T20:11:13Z,Story,2024-04-29,news_20240429.json,0.5994,0.106,0.0,0.894,0.25,0.3333333333333333,0.4247,['CHA'],1,2025-09-10 20:00:00+00:00
46215397,Who has won EuroBasket? Men's and women's champions by year,The EuroBasket is the top international basketball competition for European teams. Check out all-time men's and women's winners now.,2025-09-10T19:21:00Z,2025-09-10T19:22:24Z,Story,2024-04-29,news_20240429.json,0.9001,0.324,0.0,0.676,0.16666666666666666,0.16666666666666666,0.5333833333333333,"['NO', 'CHA']",2,2025-09-10 19:21:00+00:00
46216115,"Trey Lyles signs with Real Madrid, leaves NBA after 10 years","Trey Lyles, a 10-year NBA veteran, signed a one-year deal Wednesday with Real Madrid, which plays in Spain and in the EuroLeague.",2025-09-10T16:24:50Z,2025-09-10T16:24:48Z,HeadlineNews,2024-04-29,news_20240429.json,0.25,0.059,0.0,0.941,0.13333333333333333,0.20000000000000004,0.19166666666666665,['LAC'],1,2025-09-10 16:24:50+00:00
46216537,Sources: Knicks to hire Saint Joseph's Billy Lange,"Saint Joseph's head coach, Billy Lange, is expected to be hired by the Knicks for a role with the franchise, sources told ESPN on Wednesday.",2025-09-10T20:25:41Z,2025-09-10T20:25:38Z,HeadlineNews,2024-05-06,news_20240506.json,0.0,0.0,0.0,1.0,-0.1,0.4,-0.1,"['LAC', 'CHI', 'SA', 'NY']",4,2025-09-10 20:25:41+00:00
46217260,"Long end-of-quarter shots to count against NBA teams, not players","The NBA will implement a change for the 2025-26 season with unsuccessful end-of-period heaves being recorded as a missed attempt for the team, not the player.",2025-09-10T20:14:29Z,2025-09-10T20:14:13Z,HeadlineNews,2024-05-06,news_20240506.json,-0.5719,0.0,0.121,0.879,-0.05,0.4,-0.31095,"['LAC', 'NO', 'CHA']",3,2025-09-10 20:14:29+00:00
46217996,Perk reacts to NBA rule change for end-of-quarter heaves,"Kendrick Perkins reacts to Shams Charania's report on the NBA's rule change for end-of-quarter heaves, recalling Doc Rivers' stance encouraging players to take those shots.",2025-09-10T20:01:39Z,2025-09-10T20:13:48Z,Media,2024-05-06,news_20240506.json,0.5267,0.093,0.0,0.907,0.0,0.0,0.5267,"['LAC', 'POR', 'CHA']",3,2025-09-10 20:01:39+00:00
46015801,"EuroBasket 2025: Scores, schedules, teams, news and updates","EuroBasket hits the court for the first time since 2022. We have all the news, scores and schedules as 24 teams compete for champion of Europe.",2025-09-10T20:00:00Z,2025-09-10T20:11:13Z,Story,2024-05-06,news_20240506.json,0.5994,0.106,0.0,0.894,0.25,0.3333333333333333,0.4247,['CHA'],1,2025-09-10 20:00:00+00:00
46215397,Who has won EuroBasket? Men's and women's champions by year,The EuroBasket is the top international basketball competition for European teams. Check out all-time men's and women's winners now.,2025-09-10T19:21:00Z,2025-09-10T19:22:24Z,Story,2024-05-06,news_20240506.json,0.9001,0.324,0.0,0.676,0.16666666666666666,0.16666666666666666,0.5333833333333333,"['NO', 'CHA']",2,2025-09-10 19:21:00+00:00
46216115,"Trey Lyles signs with Real Madrid, leaves NBA after 10 years","Trey Lyles, a 10-year NBA veteran, signed a one-year deal Wednesday with Real Madrid, which plays in Spain and in the EuroLeague.",2025-09-10T16:24:50Z,2025-09-10T16:24:48Z,HeadlineNews,2024-05-06,news_20240506.json,0.25,0.059,0.0,0.941,0.13333333333333333,0.20000000000000004,0.19166666666666665,['LAC'],1,2025-09-10 16:24:50+00:00
46216537,Sources: Knicks to hire Saint Joseph's Billy Lange,"Saint Joseph's head coach, Billy Lange, is expected to be hired by the Knicks for a role with the franchise, sources told ESPN on Wednesday.",2025-09-10T20:25:41Z,2025-09-10T20:25:38Z,HeadlineNews,2024-05-13,news_20240513.json,0.0,0.0,0.0,1.0,-0.1,0.4,-0.1,"['LAC', 'CHI', 'SA', 'NY']",4,2025-09-10 20:25:41+00:00
46217260,"Long end-of-quarter shots to count against NBA teams, not players","The NBA will implement a change for the 2025-26 season with unsuccessful end-of-period heaves being recorded as a missed attempt for the team, not the player.",2025-09-10T20:14:29Z,2025-09-10T20:14:13Z,HeadlineNews,2024-05-13,news_20240513.json,-0.5719,0.0,0.121,0.879,-0.05,0.4,-0.31095,"['LAC', 'NO', 'CHA']",3,2025-09-10 20:14:29+00:00
46217996,Perk reacts to NBA rule change for end-of-quarter heaves,"Kendrick Perkins reacts to Shams Charania's report on the NBA's rule change for end-of-quarter heaves, recalling Doc Rivers' stance encouraging players to take those shots.",2025-09-10T20:01:39Z,2025-09-10T20:13:48Z,Media,2024-05-13,news_20240513.json,0.5267,0.093,0.0,0.907,0.0,0.0,0.5267,"['LAC', 'POR', 'CHA']",3,2025-09-10 20:01:39+00:00
46015801,"EuroBasket 2025: Scores, schedules, teams, news and updates","EuroBasket hits the court for the first time since 2022. We have all the news, scores and schedules as 24 teams compete for champion of Europe.",2025-09-10T20:00:00Z,2025-09-10T20:11:13Z,Story,2024-05-13,news_20240513.json,0.5994,0.106,0.0,0.894,0.25,0.3333333333333333,0.4247,['CHA'],1,2025-09-10 20:00:00+00:00
46215397,Who has won EuroBasket? Men's and women's champions by year,The EuroBasket is the top international basketball competition for European teams. Check out all-time men's and women's winners now.,2025-09-10T19:21:00Z,2025-09-10T19:22:24Z,Story,2024-05-13,news_20240513.json,0.9001,0.324,0.0,0.676,0.16666666666666666,0.16666666666666666,0.5333833333333333,"['NO', 'CHA']",2,2025-09-10 19:21:00+00:00
46216115,"Trey Lyles signs with Real Madrid, leaves NBA after 10 years","Trey Lyles, a 10-year NBA veteran, signed a one-year deal Wednesday with Real Madrid, which plays in Spain and in the EuroLeague.",2025-09-10T16:24:50Z,2025-09-10T16:24:48Z,HeadlineNews,2024-05-13,news_20240513.json,0.25,0.059,0.0,0.941,0.13333333333333333,0.20000000000000004,0.19166666666666665,['LAC'],1,2025-09-10 16:24:50+00:00
46216537,Sources: Knicks to hire Saint Joseph's Billy Lange,"Saint Joseph's head coach, Billy Lange, is expected to be hired by the Knicks for a role with the franchise, sources told ESPN on Wednesday.",2025-09-10T20:25:41Z,2025-09-10T20:25:38Z,HeadlineNews,2024-05-20,news_20240520.json,0.0,0.0,0.0,1.0,-0.1,0.4,-0.1,"['LAC', 'CHI', 'SA', 'NY']",4,2025-09-10 20:25:41+00:00
46217260,"Long end-of-quarter shots to count against NBA teams, not players","The NBA will implement a change for the 2025-26 season with unsuccessful end-of-period heaves being recorded as a missed attempt for the team, not the player.",2025-09-10T20:14:29Z,2025-09-10T20:14:13Z,HeadlineNews,2024-05-20,news_20240520.json,-0.5719,0.0,0.121,0.879,-0.05,0.4,-0.31095,"['LAC', 'NO', 'CHA']",3,2025-09-10 20:14:29+00:00
46217996,Perk reacts to NBA rule change for end-of-quarter heaves,"Kendrick Perkins reacts to Shams Charania's report on the NBA's rule change for end-of-quarter heaves, recalling Doc Rivers' stance encouraging players to take those shots.",2025-09-10T20:01:39Z,2025-09-10T20:13:48Z,Media,2024-05-20,news_20240520.json,0.5267,0.093,0.0,0.907,0.0,0.0,0.5267,"['LAC', 'POR', 'CHA']",3,2025-09-10 20:01:39+00:00
46015801,"EuroBasket 2025: Scores, schedules, teams, news and updates","EuroBasket hits the court for the first time since 2022. We have all the news, scores and schedules as 24 teams compete for champion of Europe.",2025-09-10T20:00:00Z,2025-09-10T20:11:13Z,Story,2024-05-20,news_20240520.json,0.5994,0.106,0.0,0.894,0.25,0.3333333333333333,0.4247,['CHA'],1,2025-09-10 20:00:00+00:00
46215397,Who has won EuroBasket? Men's and women's champions by year,The EuroBasket is the top international basketball competition for European teams. Check out all-time men's and women's winners now.,2025-09-10T19:21:00Z,2025-09-10T19:22:24Z,Story,2024-05-20,news_20240520.json,0.9001,0.324,0.0,0.676,0.16666666666666666,0.16666666666666666,0.5333833333333333,"['NO', 'CHA']",2,2025-09-10 19:21:00+00:00
46216115,"Trey Lyles signs with Real Madrid, leaves NBA after 10 years","Trey Lyles, a 10-year NBA veteran, signed a one-year deal Wednesday with Real Madrid, which plays in Spain and in the EuroLeague.",2025-09-10T16:24:50Z,2025-09-10T16:24:48Z,HeadlineNews,2024-05-20,news_20240520.json,0.25,0.059,0.0,0.941,0.13333333333333333,0.20000000000000004,0.19166666666666665,['LAC'],1,2025-09-10 16:24:50+00:00
46216537,Sources: Knicks to hire Saint Joseph's Billy Lange,"Saint Joseph's head coach, Billy Lange, is expected to be hired by the Knicks for a role with the franchise, sources told ESPN on Wednesday.",2025-09-10T20:25:41Z,2025-09-10T20:25:38Z,HeadlineNews,2024-05-27,news_20240527.json,0.0,0.0,0.0,1.0,-0.1,0.4,-0.1,"['LAC', 'CHI', 'SA', 'NY']",4,2025-09-10 20:25:41+00:00
46217260,"Long end-of-quarter shots to count against NBA teams, not players","The NBA will implement a change for the 2025-26 season with unsuccessful end-of-period heaves being recorded as a missed attempt for the team, not the player.",2025-09-10T20:14:29Z,2025-09-10T20:14:13Z,HeadlineNews,2024-05-27,news_20240527.json,-0.5719,0.0,0.121,0.879,-0.05,0.4,-0.31095,"['LAC', 'NO', 'CHA']",3,2025-09-10 20:14:29+00:00
46217996,Perk reacts to NBA rule change for end-of-quarter heaves,"Kendrick Perkins reacts to Shams Charania's report on the NBA's rule change for end-of-quarter heaves, recalling Doc Rivers' stance encouraging players to take those shots.",2025-09-10T20:01:39Z,2025-09-10T20:13:48Z,Media,2024-05-27,news_20240527.json,0.5267,0.093,0.0,0.907,0.0,0.0,0.5267,"['LAC', 'POR', 'CHA']",3,2025-09-10 20:01:39+00:00
46015801,"EuroBasket 2025: Scores, schedules, teams, news and updates","EuroBasket hits the court for the first time since 2022. We have all the news, scores and schedules as 24 teams compete for champion of Europe.",2025-09-10T20:00:00Z,2025-09-10T20:11:13Z,Story,2024-05-27,news_20240527.json,0.5994,0.106,0.0,0.894,0.25,0.3333333333333333,0.4247,['CHA'],1,2025-09-10 20:00:00+00:00
46215397,Who has won EuroBasket? Men's and women's champions by year,The EuroBasket is the top international basketball competition for European teams. Check out all-time men's and women's winners now.,2025-09-10T19:21:00Z,2025-09-10T19:22:24Z,Story,2024-05-27,news_20240527.json,0.9001,0.324,0.0,0.676,0.16666666666666666,0.16666666666666666,0.5333833333333333,"['NO', 'CHA']",2,2025-09-10 19:21:00+00:00
46216115,"Trey Lyles signs with Real Madrid, leaves NBA after 10 years","Trey Lyles, a 10-year NBA veteran, signed a one-year deal Wednesday with Real Madrid, which plays in Spain and in the EuroLeague.",2025-09-10T16:24:50Z,2025-09-10T16:24:48Z,HeadlineNews,2024-05-27,news_20240527.json,0.25,0.059,0.0,0.941,0.13333333333333333,0.20000000000000004,0.19166666666666665,['LAC'],1,2025-09-10 16:24:50+00:00
46216537,Sources: Knicks to hire Saint Joseph's Billy Lange,"Saint Joseph's head coach, Billy Lange, is expected to be hired by the Knicks for a role with the franchise, sources told ESPN on Wednesday.",2025-09-10T20:25:41Z,2025-09-10T20:25:38Z,HeadlineNews,2024-06-03,news_20240603.json,0.0,0.0,0.0,1.0,-0.1,0.4,-0.1,"['LAC', 'CHI', 'SA', 'NY']",4,2025-09-10 20:25:41+00:00
46217260,"Long end-of-quarter shots to count against NBA teams, not players","The NBA will implement a change for the 2025-26 season with unsuccessful end-of-period heaves being recorded as a missed attempt for the team, not the player.",2025-09-10T20:14:29Z,2025-09-10T20:14:13Z,HeadlineNews,2024-06-03,news_20240603.json,-0.5719,0.0,0.121,0.879,-0.05,0.4,-0.31095,"['LAC', 'NO', 'CHA']",3,2025-09-10 20:14:29+00:00
46217996,Perk reacts to NBA rule change for end-of-quarter heaves,"Kendrick Perkins reacts to Shams Charania's report on the NBA's rule change for end-of-quarter heaves, recalling Doc Rivers' stance encouraging players to take those shots.",2025-09-10T20:01:39Z,2025-09-10T20:13:48Z,Media,2024-06-03,news_20240603.json,0.5267,0.093,0.0,0.907,0.0,0.0,0.5267,"['LAC', 'POR', 'CHA']",3,2025-09-10 20:01:39+00:00
46015801,"EuroBasket 2025: Scores, schedules, teams, news and updates","EuroBasket hits the court for the first time since 2022. We have all the news, scores and schedules as 24 teams compete for champion of Europe.",2025-09-10T20:00:00Z,2025-09-10T20:11:13Z,Story,2024-06-03,news_20240603.json,0.5994,0.106,0.0,0.894,0.25,0.3333333333333333,0.4247,['CHA'],1,2025-09-10 20:00:00+00:00
46215397,Who has won EuroBasket? Men's and women's champions by year,The EuroBasket is the top international basketball competition for European teams. Check out all-time men's and women's winners now.,2025-09-10T19:21:00Z,2025-09-10T19:22:24Z,Story,2024-06-03,news_20240603.json,0.9001,0.324,0.0,0.676,0.16666666666666666,0.16666666666666666,0.5333833333333333,"['NO', 'CHA']",2,2025-09-10 19:21:00+00:00
46216115,"Trey Lyles signs with Real Madrid, leaves NBA after 10 years","Trey Lyles, a 10-year NBA veteran, signed a one-year deal Wednesday with Real Madrid, which plays in Spain and in the EuroLeague.",2025-09-10T16:24:50Z,2025-09-10T16:24:48Z,HeadlineNews,2024-06-03,news_20240603.json,0.25,0.059,0.0,0.941,0.13333333333333333,0.20000000000000004,0.19166666666666665,['LAC'],1,2025-09-10 16:24:50+00:00
46216537,Sources: Knicks to hire Saint Joseph's Billy Lange,"Saint Joseph's head coach, Billy Lange, is expected to be hired by the Knicks for a role with the franchise, sources told ESPN on Wednesday.",2025-09-10T20:25:41Z,2025-09-10T20:25:38Z,HeadlineNews,2024-06-10,news_20240610.json,0.0,0.0,0.0,1.0,-0.1,0.4,-0.1,"['LAC', 'CHI', 'SA', 'NY']",4,2025-09-10 20:25:41+00:00
46217260,"Long end-of-quarter shots to count against NBA teams, not players","The NBA will implement a change for the 2025-26 season with unsuccessful end-of-period heaves being recorded as a missed attempt for the team, not the player.",2025-09-10T20:14:29Z,2025-09-10T20:14:13Z,HeadlineNews,2024-06-10,news_20240610.json,-0.5719,0.0,0.121,0.879,-0.05,0.4,-0.31095,"['LAC', 'NO', 'CHA']",3,2025-09-10 20:14:29+00:00
46217996,Perk reacts to NBA rule change for end-of-quarter heaves,"Kendrick Perkins reacts to Shams Charania's report on the NBA's rule change for end-of-quarter heaves, recalling Doc Rivers' stance encouraging players to take those shots.",2025-09-10T20:01:39Z,2025-09-10T20:13:48Z,Media,2024-06-10,news_20240610.json,0.5267,0.093,0.0,0.907,0.0,0.0,0.5267,"['LAC', 'POR', 'CHA']",3,2025-09-10 20:01:39+00:00
46015801,"EuroBasket 2025: Scores, schedules, teams, news and updates","EuroBasket hits the court for the first time since 2022. We have all the news, scores and schedules as 24 teams compete for champion of Europe.",2025-09-10T20:00:00Z,2025-09-10T20:11:13Z,Story,2024-06-10,news_20240610.json,0.5994,0.106,0.0,0.894,0.25,0.3333333333333333,0.4247,['CHA'],1,2025-09-10 20:00:00+00:00
46215397,Who has won EuroBasket? Men's and women's champions by year,The EuroBasket is the top international basketball competition for European teams. Check out all-time men's and women's winners now.,2025-09-10T19:21:00Z,2025-09-10T19:22:24Z,Story,2024-06-10,news_20240610.json,0.9001,0.324,0.0,0.676,0.16666666666666666,0.16666666666666666,0.5333833333333333,"['NO', 'CHA']",2,2025-09-10 19:21:00+00:00
46216115,"Trey Lyles signs with Real Madrid, leaves NBA after 10 years","Trey Lyles, a 10-year NBA veteran, signed a one-year deal Wednesday with Real Madrid, which plays in Spain and in the EuroLeague.",2025-09-10T16:24:50Z,2025-09-10T16:24:48Z,HeadlineNews,2024-06-10,news_20240610.json,0.25,0.059,0.0,0.941,0.13333333333333333,0.20000000000000004,0.19166666666666665,['LAC'],1,2025-09-10 16:24:50+00:00
46216537,Sources: Knicks to hire Saint Joseph's Billy Lange,"Saint Joseph's head coach, Billy Lange, is expected to be hired by the Knicks for a role with the franchise, sources told ESPN on Wednesday.",2025-09-10T20:25:41Z,2025-09-10T20:25:38Z,HeadlineNews,2024-06-17,news_20240617.json,0.0,0.0,0.0,1.0,-0.1,0.4,-0.1,"['LAC', 'CHI', 'SA', 'NY']",4,2025-09-10 20:25:41+00:00
46217260,"Long end-of-quarter shots to count against NBA teams, not players","The NBA will implement a change for the 2025-26 season with unsuccessful end-of-period heaves being recorded as a missed attempt for the team, not the player.",2025-09-10T20:14:29Z,2025-09-10T20:14:13Z,HeadlineNews,2024-06-17,news_20240617.json,-0.5719,0.0,0.121,0.879,-0.05,0.4,-0.31095,"['LAC', 'NO', 'CHA']",3,2025-09-10 20:14:29+00:00
46217996,Perk reacts to NBA rule change for end-of-quarter heaves,"Kendrick Perkins reacts to Shams Charania's report on the NBA's rule change for end-of-quarter heaves, recalling Doc Rivers' stance encouraging players to take those shots.",2025-09-10T20:01:39Z,2025-09-10T20:13:48Z,Media,2024-06-17,news_20240617.json,0.5267,0.093,0.0,0.907,0.0,0.0,0.5267,"['LAC', 'POR', 'CHA']",3,2025-09-10 20:01:39+00:00
46015801,"EuroBasket 2025: Scores, schedules, teams, news and updates","EuroBasket hits the court for the first time since 2022. We have all the news, scores and schedules as 24 teams compete for champion of Europe.",2025-09-10T20:00:00Z,2025-09-10T20:11:13Z,Story,2024-06-17,news_20240617.json,0.5994,0.106,0.0,0.894,0.25,0.3333333333333333,0.4247,['CHA'],1,2025-09-10 20:00:00+00:00
46215397,Who has won EuroBasket? Men's and women's champions by year,The EuroBasket is the top international basketball competition for European teams. Check out all-time men's and women's winners now.,2025-09-10T19:21:00Z,2025-09-10T19:22:24Z,Story,2024-06-17,news_20240617.json,0.9001,0.324,0.0,0.676,0.16666666666666666,0.16666666666666666,0.5333833333333333,"['NO', 'CHA']",2,2025-09-10 19:21:00+00:00
46216115,"Trey Lyles signs with Real Madrid, leaves NBA after 10 years","Trey Lyles, a 10-year NBA veteran, signed a one-year deal Wednesday with Real Madrid, which plays in Spain and in the EuroLeague.",2025-09-10T16:24:50Z,2025-09-10T16:24:48Z,HeadlineNews,2024-06-17,news_20240617.json,0.25,0.059,0.0,0.941,0.13333333333333333,0.20000000000000004,0.19166666666666665,['LAC'],1,2025-09-10 16:24:50+00:00
46216537,Sources: Knicks to hire Saint Joseph's Billy Lange,"Saint Joseph's head coach, Billy Lange, is expected to be hired by the Knicks for a role with the franchise, sources told ESPN on Wednesday.",2025-09-10T20:25:41Z,2025-09-10T20:25:38Z,HeadlineNews,2024-06-24,news_20240624.json,0.0,0.0,0.0,1.0,-0.1,0.4,-0.1,"['LAC', 'CHI', 'SA', 'NY']",4,2025-09-10 20:25:41+00:00
46217260,"Long end-of-quarter shots to count against NBA teams, not players","The NBA will implement a change for the 2025-26 season with unsuccessful end-of-period heaves being recorded as a missed attempt for the team, not the player.",2025-09-10T20:14:29Z,2025-09-10T20:14:13Z,HeadlineNews,2024-06-24,news_20240624.json,-0.5719,0.0,0.121,0.879,-0.05,0.4,-0.31095,"['LAC', 'NO', 'CHA']",3,2025-09-10 20:14:29+00:00
46217996,Perk reacts to NBA rule change for end-of-quarter heaves,"Kendrick Perkins reacts to Shams Charania's report on the NBA's rule change for end-of-quarter heaves, recalling Doc Rivers' stance encouraging players to take those shots.",2025-09-10T20:01:39Z,2025-09-10T20:13:48Z,Media,2024-06-24,news_20240624.json,0.5267,0.093,0.0,0.907,0.0,0.0,0.5267,"['LAC', 'POR', 'CHA']",3,2025-09-10 20:01:39+00:00
46015801,"EuroBasket 2025: Scores, schedules, teams, news and updates","EuroBasket hits the court for the first time since 2022. We have all the news, scores and schedules as 24 teams compete for champion of Europe.",2025-09-10T20:00:00Z,2025-09-10T20:11:13Z,Story,2024-06-24,news_20240624.json,0.5994,0.106,0.0,0.894,0.25,0.3333333333333333,0.4247,['CHA'],1,2025-09-10 20:00:00+00:00
46215397,Who has won EuroBasket? Men's and women's champions by year,The EuroBasket is the top international basketball competition for European teams. Check out all-time men's and women's winners now.,2025-09-10T19:21:00Z,2025-09-10T19:22:24Z,Story,2024-06-24,news_20240624.json,0.9001,0.324,0.0,0.676,0.16666666666666666,0.16666666666666666,0.5333833333333333,"['NO', 'CHA']",2,2025-09-10 19:21:00+00:00
46216115,"Trey Lyles signs with Real Madrid, leaves NBA after 10 years","Trey Lyles, a 10-year NBA veteran, signed a one-year deal Wednesday with Real Madrid, which plays in Spain and in the EuroLeague.",2025-09-10T16:24:50Z,2025-09-10T16:24:48Z,HeadlineNews,2024-06-24,news_20240624.json,0.25,0.059,0.0,0.941,0.13333333333333333,0.20000000000000004,0.19166666666666665,['LAC'],1,2025-09-10 16:24:50+00:00
46216537,Sources: Knicks to hire Saint Joseph's Billy Lange,"Saint Joseph's head coach, Billy Lange, is expected to be hired by the Knicks for a role with the franchise, sources told ESPN on Wednesday.",2025-09-10T20:25:41Z,2025-09-10T20:25:38Z,HeadlineNews,2024-07-01,news_20240701.json,0.0,0.0,0.0,1.0,-0.1,0.4,-0.1,"['LAC', 'CHI', 'SA', 'NY']",4,2025-09-10 20:25:41+00:00
46217260,"Long end-of-quarter shots to count against NBA teams, not players","The NBA will implement a change for the 2025-26 season with unsuccessful end-of-period heaves being recorded as a missed attempt for the team, not the player.",2025-09-10T20:14:29Z,2025-09-10T20:14:13Z,HeadlineNews,2024-07-01,news_20240701.json,-0.5719,0.0,0.121,0.879,-0.05,0.4,-0.31095,"['LAC', 'NO', 'CHA']",3,2025-09-10 20:14:29+00:00
46217996,Perk reacts to NBA rule change for end-of-quarter heaves,"Kendrick Perkins reacts to Shams Charania's report on the NBA's rule change for end-of-quarter heaves, recalling Doc Rivers' stance encouraging players to take those shots.",2025-09-10T20:01:39Z,2025-09-10T20:13:48Z,Media,2024-07-01,news_20240701.json,0.5267,0.093,0.0,0.907,0.0,0.0,0.5267,"['LAC', 'POR', 'CHA']",3,2025-09-10 20:01:39+00:00
46015801,"EuroBasket 2025: Scores, schedules, teams, news and updates","EuroBasket hits the court for the first time since 2022. We have all the news, scores and schedules as 24 teams compete for champion of Europe.",2025-09-10T20:00:00Z,2025-09-10T20:11:13Z,Story,2024-07-01,news_20240701.json,0.5994,0.106,0.0,0.894,0.25,0.3333333333333333,0.4247,['CHA'],1,2025-09-10 20:00:00+00:00
46215397,Who has won EuroBasket? Men's and women's champions by year,The EuroBasket is the top international basketball competition for European teams. Check out all-time men's and women's winners now.,2025-09-10T19:21:00Z,2025-09-10T19:22:24Z,Story,2024-07-01,news_20240701.json,0.9001,0.324,0.0,0.676,0.16666666666666666,0.16666666666666666,0.5333833333333333,"['NO', 'CHA']",2,2025-09-10 19:21:00+00:00
46216115,"Trey Lyles signs with Real Madrid, leaves NBA after 10 years","Trey Lyles, a 10-year NBA veteran, signed a one-year deal Wednesday with Real Madrid, which plays in Spain and in the EuroLeague.",2025-09-10T16:24:50Z,2025-09-10T16:24:48Z,HeadlineNews,2024-07-01,news_20240701.json,0.25,0.059,0.0,0.941,0.13333333333333333,0.20000000000000004,0.19166666666666665,['LAC'],1,2025-09-10 16:24:50+00:00
46216537,Sources: Knicks to hire Saint Joseph's Billy Lange,"Saint Joseph's head coach, Billy Lange, is expected to be hired by the Knicks for a role with the franchise, sources told ESPN on Wednesday.",2025-09-10T20:25:41Z,2025-09-10T20:25:38Z,HeadlineNews,2024-07-08,news_20240708.json,0.0,0.0,0.0,1.0,-0.1,0.4,-0.1,"['LAC', 'CHI', 'SA', 'NY']",4,2025-09-10 20:25:41+00:00
46217260,"Long end-of-quarter shots to count against NBA teams, not players","The NBA will implement a change for the 2025-26 season with unsuccessful end-of-period heaves being recorded as a missed attempt for the team, not the player.",2025-09-10T20:14:29Z,2025-09-10T20:14:13Z,HeadlineNews,2024-07-08,news_20240708.json,-0.5719,0.0,0.121,0.879,-0.05,0.4,-0.31095,"['LAC', 'NO', 'CHA']",3,2025-09-10 20:14:29+00:00
46217996,Perk reacts to NBA rule change for end-of-quarter heaves,"Kendrick Perkins reacts to Shams Charania's report on the NBA's rule change for end-of-quarter heaves, recalling Doc Rivers' stance encouraging players to take those shots.",2025-09-10T20:01:39Z,2025-09-10T20:13:48Z,Media,2024-07-08,news_20240708.json,0.5267,0.093,0.0,0.907,0.0,0.0,0.5267,"['LAC', 'POR', 'CHA']",3,2025-09-10 20:01:39+00:00
46015801,"EuroBasket 2025: Scores, schedules, teams, news and updates","EuroBasket hits the court for the first time since 2022. We have all the news, scores and schedules as 24 teams compete for champion of Europe.",2025-09-10T20:00:00Z,2025-09-10T20:11:13Z,Story,2024-07-08,news_20240708.json,0.5994,0.106,0.0,0.894,0.25,0.3333333333333333,0.4247,['CHA'],1,2025-09-10 20:00:00+00:00
46215397,Who has won EuroBasket? Men's and women's champions by year,The EuroBasket is the top international basketball competition for European teams. Check out all-time men's and women's winners now.,2025-09-10T19:21:00Z,2025-09-10T19:22:24Z,Story,2024-07-08,news_20240708.json,0.9001,0.324,0.0,0.676,0.16666666666666666,0.16666666666666666,0.5333833333333333,"['NO', 'CHA']",2,2025-09-10 19:21:00+00:00
